title,genres,original_language,popularity,production_companies,release_date,budget,revenue,runtime,status,vote_average,vote_count,credits
The Post,Drama,en,18.626,DreamWorks Pictures-20th Century Fox-Amblin Entertainment-Participant-Reliance Entertainment-TSG Entertainment-Star Thrower Entertainment-Pascal Pictures,2017-12-22,50000000.0,179769467.0,116.0,Released,7.0,4129.0,Meryl Streep
Wild Wild West,Action,en,18.626,Warner Bros. Pictures-Todman Simon LeMasters Productions-Peters Entertainment-Sonnenfeld Josephson Worldwide Entertainment,1999-06-29,170000000.0,222104681.0,106.0,Released,5.317,2952.0,Will Smith
Muppets Most Wanted,Comedy,en,18.621,Walt Disney Pictures-Mandeville Films,2014-03-20,50000000.0,80383290.0,107.0,Released,6.315,724.0,Ricky Gervais
Christopher Robin,Adventure,en,18.62,Walt Disney Pictures-2DUX²,2018-08-02,75000000.0,99138899.0,104.0,Released,7.3,2428.0,Ewan McGregor
Dreamgirls,Drama,en,18.613,Laurence Mark Productions-Paramount-DreamWorks Pictures,2006-12-25,70000000.0,154937680.0,134.0,Released,6.752,929.0,Jamie Foxx
The Peanuts Movie,Comedy,en,18.607,20th Century Fox-Blue Sky Studios-20th Century Fox Animation,2015-11-01,99000000.0,246233113.0,88.0,Released,6.863,1410.0,Noah Schnapp
The Pelican Brief,Mystery,en,18.601,Warner Bros. Pictures,1993-09-17,45000000.0,195268056.0,141.0,Released,6.594,1294.0,Julia Roberts
The Goldfinger,Crime,cn,18.599,Emperor Motion Pictures-Tianjin Maoyan Weying Media,2023-12-30,45000000.0,6136329.0,126.0,Released,6.113,40.0,Tony Leung Chiu
Dracula,Horror,en,18.598,Universal Pictures,1931-02-12,355000.0,700000.0,74.0,Released,7.2,972.0,Bela Lugosi
Ondine,Drama,en,18.596,Start Motion Pictures-Wayfare Entertainment-Octagon Films-Little Wave Productions-RTÉ-Fís Éireann/Screen Ireland,2009-09-14,12000000.0,1790061.0,111.0,Released,6.3,285.0,Colin Farrell
Don't Tell Mom the Babysitter's Dead,Comedy,en,18.591,Outlaw Productions-Cinema Plus-Douglas-HBO-Mercury,1991-06-07,10000000.0,25196249.0,105.0,Released,6.1,416.0,Christina Applegate
Downton Abbey,Drama,en,18.589,Carnival Films-Focus Features-Perfect World Pictures,2019-09-12,20000000.0,192199131.0,122.0,Released,7.1,968.0,Hugh Bonneville
Wild Orchid,Romance,en,18.588,Vision P.D.G.,1989-12-22,7000000.0,11060485.0,105.0,Released,5.2,240.0,Jacqueline Bisset
Steamboy,Animation,ja,18.573,Bandai Visual-SUNRISE-STUDIO4℃-Steamboy Committee,2004-07-17,26000000.0,18900000.0,126.0,Released,6.856,320.0,Keiko Aizawa
The Warrior's Way,Adventure,en,18.564,SCS Entertainment-Sidus-Relativity Media-Rogue Pictures-Sad Flutes-Fuse Media-Wellmade Entertainment-Kathy Morgan International,2010-12-01,42000000.0,11087569.0,100.0,Released,6.6,521.0,Jang Dong
Blair Witch,Thriller,en,18.546,Vertigo Entertainment-Lionsgate-Room 101-Snoot Entertainment,2016-09-15,5000000.0,45172994.0,89.0,Released,5.2,1820.0,James Allen McCune
Dazed and Confused,Comedy,en,18.545,Gramercy Pictures-Detour Film Production-Alphaville,1993-09-24,6900000.0,8000000.0,102.0,Released,7.3,1893.0,Jason London
Nine Lives,Fantasy,en,18.541,Fundamental Films-EuropaCorp,2016-08-03,30000000.0,57814445.0,87.0,Released,5.747,948.0,Kevin Spacey
Winter's Tale,Drama,en,18.534,Village Roadshow Pictures-Warner Bros. Pictures-Weed Road Pictures,2014-02-13,60000000.0,30800231.0,118.0,Released,6.272,1219.0,Colin Farrell
"Silent Night, Deadly Night Part 2",Comedy,en,18.528,Silent Night Releasing Corporation,1987-04-10,250000.0,154323.0,88.0,Released,4.5,147.0,Eric Freeman
Forgetting Sarah Marshall,Comedy,en,18.525,Universal Pictures-Apatow Productions,2008-04-17,30000000.0,105173115.0,111.0,Released,6.5,2985.0,Jason Segel
Billy Madison,Comedy,en,18.519,Jack Giarraputo Productions-Universal Pictures,1995-02-10,10000000.0,26488734.0,90.0,Released,6.2,1388.0,Adam Sandler
I Now Pronounce You Chuck & Larry,Comedy,en,18.516,Universal Pictures-Happy Madison Productions,2007-07-12,85000000.0,187134117.0,115.0,Released,6.019,2022.0,Adam Sandler
Love in the Time of Cholera,Drama,en,18.513,New Line Cinema-Grosvenor Park Media,2007-10-04,45000000.0,4607608.0,139.0,Released,6.611,312.0,Javier Bardem
Lifeforce,Horror,en,18.512,Golan-Globus Productions-Easedram-London-Cannon Films-Cannon Group-TriStar Pictures,1985-06-21,25000000.0,11603545.0,102.0,Released,6.323,474.0,Steve Railsback
Harley Davidson and the Marlboro Man,Action,en,18.512,Krisjair-Laredo-Metro-Goldwyn-Mayer,1991-08-23,23000000.0,7434726.0,98.0,Released,6.3,337.0,Mickey Rourke
The Wall,War,en,18.505,Big Indie Pictures-Amazon Studios-Picrow,2017-05-12,3000000.0,4500000.0,90.0,Released,6.3,753.0,Aaron Taylor
Indecent Proposal,Romance,en,18.501,Paramount,1993-04-07,38000000.0,266614059.0,117.0,Released,6.3,1194.0,Robert Redford
Vanishing Point,Action,en,18.491,Cupid Productions-20th Century Fox,1971-01-15,1300000.0,72266306.0,99.0,Released,7.2,411.0,Barry Newman
Resident Evil: Apocalypse,Horror,en,18.488,Screen Gems-Davis Films/Impact Pictures-Constantin Film,2004-09-10,45000000.0,129394835.0,94.0,Released,6.3,3752.0,Milla Jovovich
The Man Who Knew Too Little,Comedy,en,18.487,Polar Films-Arnon Milchan Productions,1997-11-14,20000000.0,13801755.0,97.0,Released,6.4,470.0,Bill Murray
The Stepford Wives,Comedy,en,18.478,Paramount-DreamWorks Pictures-De Line Pictures,2004-06-10,90000000.0,102000000.0,93.0,Released,5.689,1134.0,Nicole Kidman
The Last Boy Scout,Action,en,18.476,Geffen Pictures-Silver Pictures-Warner Bros. Pictures,1991-03-19,29000000.0,59509925.0,105.0,Released,6.8,1581.0,Bruce Willis
Gangster Squad,Crime,en,18.474,Village Roadshow Pictures-Lin Pictures-Langley Park Production-Warner Bros. Pictures,2013-01-10,60000000.0,105200903.0,113.0,Released,6.348,3687.0,Josh Brolin
"sex, lies, and videotape",Drama,en,18.47,Miramax-Outlaw Productions-Virgin,1989-08-04,1200000.0,24741667.0,101.0,Released,6.9,729.0,Andie MacDowell
Stuber,Action,en,18.462,GoldDay,2019-07-11,16000000.0,32400000.0,93.0,Released,6.7,1116.0,Dave Bautista
Donovan's Reef,Adventure,en,18.452,Paramount,1963-06-12,2686000.0,6600000.0,109.0,Released,6.2,112.0,John Wayne
What Happens in Vegas,Comedy,en,18.447,Penn Station Entertainment-Regency Enterprises-21 Laps Entertainment-Dune Entertainment III-Mosaic Media Group-20th Century Fox-Monarchy Enterprises B.V.,2008-05-07,35000000.0,219400000.0,99.0,Released,6.093,2867.0,Cameron Diaz
Color Out of Space,Mystery,en,18.445,XYZ Films-SpectreVision-ACE Pictures Entertainment-BRO Cinema,2019-09-07,6000000.0,1023510.0,111.0,Released,6.035,1155.0,Nicolas Cage
Every Which Way but Loose,Action,en,18.445,Malpaso Productions-Warner Bros. Pictures,1978-12-16,5000000.0,85196485.0,110.0,Released,6.2,382.0,Clint Eastwood
Upside Down,Romance,en,18.443,France 2 Cinéma-Canal+-Onyx Films-Studio 37-France Télévisions-Ciné+-Jouror Productions-Transfilm-Upside Down Films-Les Films Upside Down-Kinologic Films,2012-09-27,60000000.0,22187813.0,104.0,Released,6.249,2283.0,Kirsten Dunst
Brick Mansions,Action,en,18.437,EuropaCorp-Transfilm International-Relativity Media-Brick Mansions Productions,2014-04-22,28000000.0,68896829.0,90.0,Released,5.905,1379.0,Paul Walker
Save the Last Dance,Drama,en,18.434,MTV Films-Cort/Madden Productions,2001-01-12,13000000.0,131706809.0,113.0,Released,6.6,1135.0,Julia Stiles
Halloween II,Horror,en,18.418,Dimension Films-Spectacle Entertainment Group-Trancas International Films,2009-08-28,10000000.0,39421467.0,105.0,Released,5.4,1191.0,Scout Taylor
The Last Warrior,Fantasy,ru,18.413,Walt Disney Pictures-The Walt Disney Company CIS,2017-10-19,8250000.0,30060061.0,120.0,Released,6.888,134.0,Viktor Horinyak
R.A.I.D. Special Unit,Action,fr,18.413,TF1 Films Production-Pathé-Artémis Productions-Les Productions du Ch'timi,2017-02-01,32400000.0,34598750.0,105.0,Released,5.8,832.0,Alice Pol
Mad God,Animation,en,18.396,Tippett Studio,2022-06-16,250000.0,322619.0,84.0,Released,6.86,179.0,Alex Cox
Runaway,Science Fiction,en,18.389,TriStar Pictures,1984-12-14,8000000.0,6770587.0,100.0,Released,5.5,231.0,Tom Selleck
Alfie,Comedy,en,18.386,Paramount-Patalex Productions,2004-10-22,60000000.0,35060882.0,103.0,Released,5.8,711.0,Jude Law
The Belko Experiment,Horror,en,18.383,Metro-Goldwyn-Mayer-Orion Pictures-Blumhouse Productions-The Safran Company-BH Tilt-Troll Court Entertainment-Itaca Films,2016-03-17,5000000.0,10166820.0,89.0,Released,6.2,1217.0,John Gallagher Jr.
Wyatt Earp,Western,en,18.377,Paragon Entertainment Corp.-Tig Productions-Kasdan Pictures-Warner Bros. Pictures,1994-06-24,63000000.0,25052000.0,191.0,Released,6.78,711.0,Kevin Costner
The Butler,Drama,en,18.377,Laura Ziskin Productions-Lee Daniels Entertainment-Follow Through Productions-Salamander Pictures-Pam Williams Productions-Windy Hill Pictures,2013-08-16,25000000.0,115922175.0,132.0,Released,7.3,2666.0,Forest Whitaker
One Direction: This Is Us,Documentary,en,18.375,Sony Pictures-TriStar Pictures,2013-08-29,10000000.0,68500000.0,92.0,Released,8.3,991.0,Harry Styles
Melancholia,Drama,en,18.374,Zentropa Entertainments-ARTE France Cinéma-DR-Memfis Film-Film i Väst-Slot Machine-Zentropa International Sweden-Zentropa International Köln-Liberator Productions,2011-05-26,7400000.0,15946321.0,135.0,Released,7.204,3037.0,Kirsten Dunst
A Dangerous Method,Drama,en,18.368,Recorded Pictures Company-The Movie Network-Millbrook Pictures-Prospero Pictures-Lago Film-Dangerous Method Film AG,2011-09-30,15000000.0,27462041.0,99.0,Released,6.3,1824.0,Keira Knightley
The Marine,Action,en,18.367,Pacific Film and Television Commission-WWE Studios-20th Century Fox,2006-10-13,20000000.0,22165608.0,92.0,Released,6.0,620.0,John Cena
In the Heights,Drama,en,18.367,Likely Story-Endeavor Content-5000 Broadway Productions-SGS Pictures-Barrio Grrrl!,2021-06-10,55000000.0,43000000.0,143.0,Released,7.267,569.0,Anthony Ramos
Next,Action,en,18.362,Paramount-Virtual Studios-Revolution Studios-Saturn Films-Initial Entertainment Group-Broken Road Productions-Eyetronics,2007-04-25,70000000.0,76066841.0,96.0,Released,6.0,2566.0,Nicolas Cage
Audition,Horror,ja,18.358,Basara Pictures-Creators Company Connection-Omega Project,1999-10-06,250000.0,359853.0,115.0,Released,7.096,1255.0,Ryo Ishibashi
Doctor Zhivago,Drama,en,18.337,Metro-Goldwyn-Mayer-Carlo Ponti Production,1965-12-22,11000000.0,111858363.0,200.0,Released,7.5,946.0,Omar Sharif
The Enforcer,Action,en,18.312,Malpaso Productions-Warner Bros. Pictures,1976-12-20,9000000.0,46236000.0,96.0,Released,6.788,729.0,Clint Eastwood
The Firm,Drama,en,18.311,Paramount-Mirage Enterprises-Davis Entertainment,1993-06-30,42000000.0,270248367.0,155.0,Released,6.736,1702.0,Tom Cruise
It's Kind of a Funny Story,Comedy,en,18.305,Journeyman Pictures-Wayfare Entertainment-Focus Features-Misher Films-Gowanus Projections-Start Media,2010-10-08,8000000.0,6491240.0,102.0,Released,7.0,2128.0,Keir Gilchrist
Life of Brian,Comedy,en,18.301,Python (Monty) Pictures Limited-HandMade Films,1979-08-17,4000000.0,20745728.0,94.0,Released,7.8,3766.0,Graham Chapman
Wind Chill,Drama,en,18.299,TriStar Pictures-Blueprint Pictures-Section Eight,2007-04-27,6000000.0,285000.0,91.0,Released,5.8,446.0,Emily Blunt
THX 1138,Science Fiction,en,18.294,American Zoetrope-Warner Bros. Pictures,1971-03-11,777000.0,2437000.0,86.0,Released,6.473,801.0,Robert Duvall
The Rescuers,Fantasy,en,18.275,Walt Disney Productions,1977-06-22,1200000.0,71215869.0,78.0,Released,6.761,2233.0,Bob Newhart
Early Man,Family,en,18.269,Aardman-Summit Entertainment-StudioCanal-Lionsgate-BFI-BFI Film Fund-Creative Skillset's Skills Investment Fund,2018-01-26,50000000.0,53431158.0,89.0,Released,6.2,690.0,Eddie Redmayne
Elephant,Crime,en,18.263,HBO Films-Blue Relief Productions-Meno Film Company-Fine Line Features-Fearmakers Studios,2003-09-20,3000000.0,10000000.0,81.0,Released,7.1,1863.0,Alex Frost
Muppets from Space,Family,en,18.253,Columbia Pictures-Jim Henson Pictures,1999-07-14,24000000.0,22300000.0,88.0,Released,6.036,316.0,Dave Goelz
The Blues Brothers,Music,en,18.251,Universal Pictures,1980-06-16,27000000.0,115229890.0,133.0,Released,7.7,3637.0,Dan Aykroyd
Grumpy Old Men,Comedy,en,18.25,John Davis-Lancaster Gate-Warner Bros. Pictures,1993-12-25,35100000.0,70200000.0,103.0,Released,6.6,554.0,Jack Lemmon
Mercury Rising,Action,en,18.25,Imagine Entertainment-Universal Pictures,1998-04-03,60000000.0,93107289.0,111.0,Released,6.2,1329.0,Bruce Willis
The Last Exorcism,Horror,en,18.249,Strike Entertainment-StudioCanal-Arcade Pictures,2010-08-27,1800000.0,69432527.0,87.0,Released,5.656,879.0,Ashley Bell
The Insider,Drama,en,18.248,Touchstone Pictures-Forward Pass-Kaitz Productions-Mann/Roth Productions-Spyglass Entertainment,1999-10-28,90000000.0,60289912.0,158.0,Released,7.5,1557.0,Al Pacino
The Muppet Movie,Comedy,en,18.234,ITC Entertainment-The Jim Henson Company-Associated Film Distribution,1979-06-22,8000000.0,65200000.0,97.0,Released,7.2,574.0,Jim Henson
Jackass: The Movie,Comedy,en,18.23,Lynch Siderow Productions-Dickhouse Productions-Paramount-MTV Films,2002-10-25,5000000.0,64282312.0,88.0,Released,6.3,1493.0,Johnny Knoxville
Miss March,Comedy,en,18.226,Fox Atomic-The Jacobson Company,2009-03-13,6000000.0,4591629.0,89.0,Released,5.541,315.0,Zach Cregger
The Nutty Professor,Fantasy,en,18.212,Universal Pictures-Imagine Entertainment,1996-06-26,54000000.0,128769345.0,95.0,Released,5.6,2590.0,Eddie Murphy
Spawn,Action,en,18.212,New Line Cinema-Pull Down Your Pants Pictures-Juno Pix-Todd McFarlane Entertainment,1997-07-31,40000000.0,87840042.0,96.0,Released,5.4,1136.0,Michael Jai White
The Avengers,Thriller,en,18.211,Warner Bros. Pictures-Jerry Weintraub Productions,1998-08-13,60000000.0,48585416.0,89.0,Released,4.4,604.0,Ralph Fiennes
Skiptrace,Action,en,18.21,InterTitle Films-Cider Mill Pictures-Dasym Enetertainment-JC Group International-Talent International Media-Talent International Film Cultural Company,2016-07-21,32000000.0,58500000.0,107.0,Released,5.6,547.0,Jackie Chan
Bedazzled,Fantasy,en,18.2,20th Century Fox-Regency Enterprises-KirchMedia,2000-10-19,48000000.0,90383208.0,93.0,Released,6.0,1586.0,Brendan Fraser
Orca,Adventure,en,18.199,Paramount-Dino de Laurentiis Cinematografica,1977-07-22,17500000.0,14717854.0,95.0,Released,6.191,324.0,Richard Harris
The King's Speech,Drama,en,18.191,The Weinstein Company-UK Film Council-Bedlam Productions-See-Saw Films-Aegis Film Fund-FilmNation Entertainment-Momentum Pictures-Molinare Investment,2010-11-26,15000000.0,414211549.0,118.0,Released,7.7,7828.0,Colin Firth
King Kong,Adventure,en,18.19,Paramount Pictures-The De Laurentiis Company,1976-09-08,23000000.0,90614445.0,134.0,Released,6.2,817.0,Jeff Bridges
The Rocker,Comedy,en,18.183,Fox Atomic,2008-08-20,15000000.0,8762890.0,102.0,Released,6.0,490.0,Rainn Wilson
3 Ninjas,Family,en,18.158,Touchstone Pictures,1992-08-07,6500000.0,29000301.0,84.0,Released,5.7,375.0,Victor Wong
El Mariachi,Action,es,18.157,Columbia Pictures-Los Hooligans Productions,1992-09-04,7225.0,2040920.0,81.0,Released,6.718,953.0,Carlos Gallardo
City Slickers,Comedy,en,18.148,Castle Rock Entertainment-Nelson Entertainment-Face Productions,1991-06-07,27000000.0,179033791.0,114.0,Released,6.4,635.0,Billy Crystal
Like Stars on Earth,Drama,hi,18.148,Aamir Khan Productions-PVR Pictures,2007-12-21,2600000.0,28430000.0,165.0,Released,7.999,944.0,Darsheel Safary
Sudden Impact,Thriller,en,18.144,Warner Bros. Pictures-Malpaso Productions,1983-12-08,22000000.0,150000000.0,117.0,Released,6.6,825.0,Clint Eastwood
The Wedding Planner,Comedy,en,18.139,Tapestry Films-Dee Gee Entertainment-IMF Internationale Medien und Film GmbH & Co. Produktions KG-Intermedia Films-Prufrock Pictures-Columbia Pictures,2001-01-26,35000000.0,94728529.0,103.0,Released,5.9,1479.0,Jennifer Lopez
The Tin Drum,Drama,de,18.139,Jadran Film-Artemis Film-Franz Seitz Filmproduktion-Argos Films-Film Polski-Hallelujah Films-GGB-14-Neue Bioskop Film-Auditrust,1979-05-02,3000000.0,17000000.0,162.0,Released,6.958,424.0,Mario Adorf
Bedknobs and Broomsticks,Adventure,en,18.137,Walt Disney Productions,1971-10-07,20000000.0,17900000.0,117.0,Released,7.0,824.0,Angela Lansbury
Universal Soldier: Day of Reckoning,Action,en,18.132,Signature Pictures-Foresight Unlimited-Baumgarten Management and Productions (BMP),2012-10-04,11500000.0,1402307.0,114.0,Released,5.5,359.0,Jean
Porky's,Comedy,en,18.128,20th Century Fox-Melvin Simon Productions-Astral Bellevue Pathé,1981-11-13,4000000.0,125728258.0,94.0,Released,6.4,730.0,Dan Monahan
Mrs. Doubtfire,Comedy,en,18.126,20th Century Fox-Blue Wolf Productions,1993-11-24,25000000.0,441286195.0,125.0,Released,7.2,5390.0,Robin Williams
Hanna,Action,en,18.122,Focus Features-Neunte Babelsberg Film-Holleran Company-Sechzehnte Babelsberg Film,2011-04-07,30000000.0,63782078.0,111.0,Released,6.6,3000.0,Saoirse Ronan
Oliver & Company,Animation,en,18.113,Walt Disney Pictures-Silver Screen Partners III-Walt Disney Feature Animation,1988-11-18,31000000.0,74151346.0,77.0,Released,6.7,1372.0,Joey Lawrence
Serenity,Science Fiction,en,18.103,Universal Pictures-Barry Mendel Productions,2005-09-23,39000000.0,38869464.0,119.0,Released,7.38,3046.0,Nathan Fillion
Fiddler on the Roof,Drama,en,18.085,United Artists-The Mirisch Company-Cartier Productions,1971-11-03,9000000.0,83304330.0,179.0,Released,7.7,457.0,Topol
Barnyard,Animation,en,18.085,Paramount-Nickelodeon Movies-O Entertainment-Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG,2006-08-04,51000000.0,116476887.0,90.0,Released,5.8,894.0,Kevin James
Moon,Science Fiction,en,18.077,Liberty Films-Lunar Industries-Xingu Films-Limelight Fund,2009-06-12,5000000.0,9760104.0,97.0,Released,7.576,5004.0,Sam Rockwell
The Good Neighbor,Thriller,en,18.073,Forma Pro Films-Altit Media Group,2022-06-17,105.0,94909.0,97.0,Released,7.2,76.0,Jonathan Rhys Meyers
Incendies,Drama,fr,18.069,TS Productions-Phi Group-micro_scope-Entertainment One-Téléfilm Canada-Super Écran-CNC-The Movie Network-Société Radio-Canada-Astral Media-Seville International-Sony Pictures Classics,2010-09-04,6800000.0,6788659.0,131.0,Released,8.097,2236.0,Lubna Azabal
Sherlock Gnomes,Animation,en,18.059,Metro-Goldwyn-Mayer-Paramount Animation-Rocket Pictures,2018-03-15,59000000.0,90497778.0,86.0,Released,5.6,622.0,Johnny Depp
RoboCop 3,Action,en,18.057,Orion Pictures-Metro-Goldwyn-Mayer,1993-05-28,22000000.0,10696210.0,104.0,Released,4.7,1086.0,Robert John Burke
Pay It Forward,Drama,en,18.047,Warner Bros. Pictures-Bel Air Entertainment-Tapestry Films,2000-10-20,40000000.0,55707411.0,122.0,Released,7.3,1526.0,Kevin Spacey
World Trade Center,Drama,en,18.046,Paramount-Double Feature Films-Intermedia Films-Kernos Filmproduktionsgesellschaft & Company-Ixtlan-Saturn Films,2006-08-09,65000000.0,163247198.0,129.0,Released,6.1,1547.0,Nicolas Cage
The X Files: I Want to Believe,Drama,en,18.045,20th Century Fox-Ten Thirteen Productions-Dune Entertainment III-Crying Box Productions,2008-07-24,30000000.0,69363381.0,104.0,Released,5.7,1280.0,David Duchovny
Disaster Movie,Comedy,en,18.044,Lionsgate-The Safran Company-3 in the Box-Grosvenor Park Media,2008-08-29,25000000.0,14109284.0,87.0,Released,3.3,904.0,Matt Lanter
Ichi the Killer,Action,ja,18.036,Omega Project-Omega Micott Inc.-Excell Film Agentur,2001-12-22,1400010.0,80631.0,129.0,Released,6.987,792.0,Tadanobu Asano
The Golden Child,Action,en,18.025,Paramount-Eddie Murphy Productions-Feldman/Meeker Productions,1986-12-12,25000000.0,79817939.0,94.0,Released,5.908,914.0,Eddie Murphy
The Possession,Horror,en,18.021,Ghost House Pictures-Lionsgate-North Box Productions,2012-08-30,14000000.0,85446075.0,92.0,Released,6.007,1412.0,Jeffrey Dean Morgan
The Wave,Drama,de,18.012,Constantin Film-Rat Pack Filmproduktion-B.A. Produktion-Medienfonds GFP,2008-03-11,7500000.0,19000000.0,107.0,Released,7.5,2923.0,Jürgen Vogel
Battle Royale II: Requiem,Action,ja,18.007,Fukasaku-gumi-Toei Company-TV Asahi-WOWOW-SEGA-Toei Video Company-Toei Advertising-Tokyo FM-Nippan Group Holdings-GAGA Communications,2003-07-05,9080000.0,14902587.0,155.0,Released,4.927,465.0,Shugo Oshinari
Empire of the Sun,Drama,en,18.004,Amblin Entertainment-Warner Bros. Pictures,1987-12-09,35000000.0,66700000.0,153.0,Released,7.525,1634.0,Christian Bale
Star Trek V: The Final Frontier,Science Fiction,en,17.998,Paramount,1989-06-09,30000000.0,70200000.0,107.0,Released,5.7,986.0,William Shatner
Patriot Games,Drama,en,17.989,Paramount-Mace Neufeld Productions,1992-06-04,45000000.0,178051587.0,117.0,Released,6.674,1364.0,Harrison Ford
The Misfits,Western,en,17.986,United Artists-Seven Arts Productions-Metro-Goldwyn-Mayer,1961-02-01,4000000.0,8200000.0,124.0,Released,6.943,299.0,Marilyn Monroe
Alive,Adventure,en,17.972,Paramount-The Kennedy/Marshall Company-Touchstone Pictures-Film Andes S.A.,1993-01-15,32000000.0,36733909.0,127.0,Released,6.871,1238.0,Ethan Hawke
*batteries not included,Science Fiction,en,17.966,Universal Pictures-Amblin Entertainment,1987-12-18,25000000.0,65088797.0,106.0,Released,6.7,586.0,Hume Cronyn
Serpico,Crime,en,17.962,De Laurentiis Entertainment Group-Artists Entertainment Complex,1973-12-18,3000000.0,29800000.0,130.0,Released,7.5,1622.0,Al Pacino
Butch Cassidy and the Sundance Kid,Western,en,17.953,20th Century Fox-Campanile Productions-Newman-Foreman Company-George Roy Hill-Paul Monash Production,1969-01-15,6000000.0,102308889.0,111.0,Released,7.612,1846.0,Paul Newman
Emma,Romance,en,17.952,Miramax-Haft Entertainment-Matchmaker Films,1996-08-02,6000000.0,22231658.0,121.0,Released,6.7,515.0,Gwyneth Paltrow
The Running Man,Action,en,17.938,Braveworld Productions-Keith Barish Productions-TAFT Entertainment Pictures-HBO,1987-11-13,27000000.0,38122105.0,101.0,Released,6.518,1996.0,Arnold Schwarzenegger
WarGames,Thriller,en,17.925,United Artists-Sherwood Productions,1983-06-03,12000000.0,124600000.0,114.0,Released,7.07,1525.0,Matthew Broderick
"Good Morning, Vietnam",Comedy,en,17.922,Silver Screen Partners III-Touchstone Pictures,1987-12-23,13000000.0,123922370.0,121.0,Released,7.3,2277.0,Robin Williams
Battle of the Year,Music,en,17.917,Screen Gems,2013-09-21,20000000.0,16549477.0,110.0,Released,7.0,287.0,Josh Holloway
Heartbreakers,Comedy,en,17.914,Metro-Goldwyn-Mayer-Davis Entertainment,2001-03-23,35000000.0,57756408.0,123.0,Released,6.038,754.0,Sigourney Weaver
Failure to Launch,Comedy,en,17.911,Paramount-Scott Rudin Productions-Failure to Launch Productions,2006-03-10,50000000.0,128406887.0,97.0,Released,5.8,1450.0,Matthew McConaughey
House of Sand and Fog,Drama,en,17.906,DreamWorks Pictures-Cobalt Media Group-Bisgrove Entertainment,2003-12-19,16500000.0,16942795.0,126.0,Released,7.17,625.0,Jennifer Connelly
Falcon Rising,Adventure,en,17.905,Strohberry Films,2014-09-05,4500000.0,11774.0,103.0,Released,6.213,293.0,Michael Jai White
Something's Gotta Give,Drama,en,17.902,Columbia Pictures-Warner Bros. Pictures-Waverly Films,2003-12-12,80000000.0,266728738.0,128.0,Released,6.6,1377.0,Jack Nicholson
Pulse,Horror,en,17.9,Dimension Films-The Weinstein Company-Distant Horizon-Neo Art & Logic,2006-08-11,38000000.0,29907685.0,85.0,Released,5.0,476.0,Kristen Bell
Jingle All the Way,Family,en,17.9,1492 Pictures-20th Century Fox,1996-11-21,60000000.0,129832389.0,89.0,Released,6.0,2236.0,Arnold Schwarzenegger
Hunt for the Wilderpeople,Adventure,en,17.897,Defender Films-Piki Films-Curious Films,2016-03-31,2500000.0,23915910.0,101.0,Released,7.7,1748.0,Sam Neill
Mamma Mia! Here We Go Again,Comedy,en,17.894,Playtone-Littlestar,2018-07-09,75000000.0,395044706.0,113.0,Released,7.144,2998.0,Amanda Seyfried
Dog Day Afternoon,Crime,en,17.893,Warner Bros. Pictures-Artists Entertainment Complex,1975-08-01,1800000.0,46665856.0,125.0,Released,7.8,2502.0,Al Pacino
Death Wish II,Action,en,17.888,Golan-Globus Productions-City Film-Landers-Roberts Productions-Cannon Group-Filmways Pictures,1982-02-20,2000000.0,45000000.0,92.0,Released,6.254,376.0,Charles Bronson
Vice,Comedy,en,17.886,Plan B Entertainment-Gary Sanchez Productions-Annapurna Pictures,2018-12-25,60000000.0,76073488.0,132.0,Released,7.052,2963.0,Christian Bale
Clear and Present Danger,Action,en,17.886,Paramount-Mace Neufeld Productions,1994-08-03,62000000.0,215887717.0,141.0,Released,6.613,1241.0,Harrison Ford
The Quiet Man,Romance,en,17.882,Republic Pictures,1952-07-21,1750000.0,3800000.0,129.0,Released,7.3,502.0,John Wayne
"Planes, Trains and Automobiles",Comedy,en,17.877,Paramount-Hughes Entertainment,1987-11-26,15000000.0,49500000.0,93.0,Released,7.238,1588.0,Steve Martin
The Hand that Rocks the Cradle,Drama,en,17.873,Hollywood Pictures-Interscope Communications-Nomura Babcock & Brown,1992-01-10,11700000.0,88036683.0,110.0,Released,6.9,756.0,Annabella Sciorra
You're Next,Horror,en,17.868,Snoot Entertainment-HanWay Films,2013-08-22,1000000.0,14347000.0,94.0,Released,6.594,2352.0,Sharni Vinson
Take the Lead,Comedy,en,17.866,New Line Cinema-Tiara Blu Films,2006-03-17,30000000.0,65742992.0,108.0,Released,6.873,597.0,Antonio Banderas
Diary of a Wimpy Kid,Comedy,en,17.846,Dune Entertainment-Color Force-Dayday Films,2010-03-19,15000000.0,76196538.0,92.0,Released,6.24,1351.0,Zachary Gordon
Stir of Echoes,Horror,en,17.835,Artisan Entertainment-Hofflund/Polone,1999-09-10,12000000.0,21100000.0,99.0,Released,6.7,1155.0,Kevin Bacon
The Transformers: The Movie,Animation,en,17.834,De Laurentiis Entertainment Group-Marvel Productions-Hasbro-Sunbow Productions-Toei Animation,1986-08-08,6000000.0,5849647.0,84.0,Released,7.2,410.0,Judd Nelson
American Outlaws,Western,en,17.828,Morgan Creek Productions,2001-08-17,35000000.0,13678913.0,94.0,Released,6.0,204.0,Colin Farrell
Problem Child,Comedy,en,17.812,Imagine Entertainment-Universal Pictures,1990-07-27,10000000.0,72000000.0,81.0,Released,6.0,688.0,John Ritter
